date,fish
10/28,salmon
10/29,char
10/29,mackerel
10/29,sole
10/29,tilapia
10/29,char
10/29,tilapia
10/30,char
10/30,ahi
10/30,sole
10/30,cod
10/31,plaice
10/31,cod
10/31,sole
10/31,char
10/31,ahi
10/31,maguro
10/31,salmon
10/31,char
10/31,char
10/31,maguro
11/1,sole
11/1,ahi
11/1,salmon
11/1,halibut
11/1,ahi
11/2,maguro
11/2,plaice
11/2,halibut
11/3,maguro
11/3,char
11/3,salmon
11/4,sole
11/4,cod
11/5,halibut
11/5,halibut
11/5,ahi
11/5,mackerel
11/5,salmon
11/6,mackerel
11/6,halibut
11/6,cod
11/6,mackerel
11/6,ahi
11/6,sole
11/6,plaice
11/6,ahi
11/7,maguro
11/7,salmon
11/8,tilapia
11/8,halibut
11/8,mackerel
11/8,halibut
11/8,ahi
11/8,mackerel
11/9,ahi
11/9,halibut
11/10,halibut
11/10,plaice
11/10,cod
11/10,tilapia
11/11,cod
11/11,mackerel
11/12,plaice
11/12,maguro
11/12,salmon
11/12,maguro
11/12,cod
11/12,char
11/12,ahi
11/12,salmon
11/12,maguro
11/13,sole
11/13,char
11/14,maguro
11/14,salmon
11/14,salmon
11/15,char
11/15,halibut
11/16,maguro
11/16,maguro
11/17,mackerel
11/17,cod
11/17,tilapia
11/17,ahi
11/17,tilapia
11/17,char
11/17,cod
11/17,maguro
11/18,plaice
11/18,tilapia
11/18,plaice
11/18,ahi
11/18,mackerel
11/19,mackerel
11/19,cod
11/19,cod
11/19,char
11/19,char
11/19,sole
11/19,mackerel
11/19,plaice
11/19,plaice
11/19,mackerel
11/20,ahi
11/20,sole
11/20,char
11/20,sole
11/20,mackerel
11/21,maguro
11/21,tilapia
11/21,ahi
11/21,char
11/21,maguro
11/21,plaice
11/21,sole
11/22,mackerel
11/22,halibut
11/22,sole
11/22,salmon
11/22,ahi
11/22,plaice
11/23,sole
11/23,sole
11/23,tilapia
11/23,maguro
11/23,halibut
11/23,ahi
11/23,plaice
11/23,tilapia
11/23,mackerel
11/24,sole
11/24,ahi
11/24,ahi
11/24,char
11/24,maguro
11/24,halibut
11/24,plaice
11/24,sole
11/24,mackerel
11/25,halibut
11/25,char
11/25,cod
11/25,cod
11/25,halibut
11/26,mackerel
11/26,cod
11/26,sole
11/26,maguro
11/26,salmon
11/26,ahi
11/26,char
11/26,ahi
11/27,sole
11/27,ahi
11/27,plaice
11/27,plaice
11/27,char
11/27,maguro
11/27,cod
11/27,char
11/28,ahi
11/28,maguro
11/28,ahi
11/28,mackerel
11/28,mackerel
11/28,halibut
11/28,maguro
11/28,halibut
11/28,ahi
11/29,plaice
11/29,mackerel
11/29,char
11/29,ahi
11/29,tilapia
11/29,plaice
11/29,char
11/29,char
11/30,salmon
11/30,maguro
11/30,salmon
11/30,char
11/30,plaice
11/30,sole
11/30,maguro
11/30,salmon
11/30,char
12/1,cod
12/1,plaice
12/1,tilapia
12/1,cod
12/2,plaice
12/2,tilapia
12/2,maguro
12/2,salmon
12/2,char
12/2,ahi
12/3,salmon
12/3,ahi
12/3,plaice
12/3,salmon
12/3,ahi
12/3,ahi
12/3,ahi
12/3,sole
12/3,maguro
12/3,cod
12/4,maguro
12/4,plaice
12/4,tilapia
12/4,maguro
12/4,tilapia
12/4,cod
12/4,mackerel
12/4,tilapia
12/4,sole
12/5,ahi
12/5,halibut
12/5,ahi
12/5,salmon
12/5,mackerel
12/5,tilapia
12/5,sole
12/5,cod
12/5,salmon
12/6,maguro
12/6,salmon
12/6,cod
12/6,sole
12/6,tilapia
12/6,mackerel
12/7,mackerel
12/7,char
12/7,halibut
12/7,tilapia
12/7,plaice
12/7,char
12/7,ahi
12/7,ahi
12/7,tilapia
12/7,maguro
12/8,ahi
12/8,char
12/8,char
12/8,ahi
12/8,salmon
12/8,mackerel
12/8,sole
12/9,salmon
12/9,mackerel
12/9,char
12/10,halibut
12/10,plaice
12/10,maguro
12/10,halibut
12/10,maguro
12/10,maguro
12/10,sole
12/11,plaice
12/11,salmon
12/11,tilapia
12/11,char
12/12,maguro
12/12,salmon
12/12,halibut
12/12,mackerel
12/12,cod
12/12,maguro
12/12,mackerel
12/12,cod
12/12,salmon
12/13,plaice
12/13,tilapia
12/13,sole
12/13,sole
12/13,ahi
12/13,char
12/13,sole
12/14,halibut
12/14,maguro
12/14,plaice
12/15,ahi
12/15,maguro
12/15,mackerel
12/16,maguro
12/16,sole
12/16,char
12/16,cod
12/16,salmon
12/16,maguro
12/16,maguro
12/16,ahi
12/17,cod
12/17,plaice
12/17,maguro
12/17,plaice
12/17,mackerel
12/17,ahi
12/17,maguro
12/17,plaice
12/17,plaice
12/18,salmon
12/18,char
12/18,sole
12/18,mackerel
12/18,plaice
12/18,plaice
12/18,cod
12/18,ahi
12/18,char
12/19,salmon
12/19,char
12/19,mackerel
12/19,salmon
12/19,tilapia
12/19,halibut
12/20,maguro
12/20,maguro
12/20,char
12/21,salmon
12/21,mackerel
12/21,ahi
12/21,mackerel
12/22,tilapia
12/22,char
12/22,mackerel
12/22,plaice
12/22,mackerel
12/22,tilapia
12/22,plaice
12/22,halibut
12/22,ahi
12/22,halibut
12/23,cod
12/23,ahi
12/23,plaice
12/23,plaice
12/23,char
12/23,plaice
12/23,halibut
12/23,salmon
12/24,tilapia
12/24,halibut
12/24,maguro
12/24,char
12/24,tilapia
12/24,mackerel
12/25,salmon
12/25,sole
12/26,plaice
12/26,maguro
12/26,maguro
12/26,cod
12/26,plaice
12/26,cod
12/27,salmon
12/27,tilapia
12/27,sole
12/28,tilapia
12/28,maguro
12/28,mackerel
12/28,ahi
12/28,sole
12/29,maguro
12/29,salmon
12/29,plaice
12/29,tilapia
12/29,ahi
12/29,mackerel
12/29,plaice
12/29,sole
12/29,halibut
12/30,mackerel
12/30,plaice
12/30,char
12/30,cod
12/30,char
12/30,tilapia
12/30,ahi
12/30,tilapia
12/30,sole
12/30,cod
12/31,mackerel
12/31,halibut
12/31,char
12/31,plaice
